01|12:07:21|01|03
02|12:07:22|01|02
03|12:07:23|03|01
04|12:07:26|04|01
05|12:07:30|03|03
06|12:07:33|02|04
07|12:07:35|01|05
08|12:07:36|01|02
09|12:07:37|02|03
10|12:07:39|03|04
11|12:07:42|03|01
12|12:07:45|02|03
13|12:07:47|01|04
14|12:07:48|03|04
15|12:07:51|03|04
16|12:07:54|02|05
17|12:07:56|02|04
18|12:07:58|03|01
19|12:08:01|02|04
20|12:08:03|02|01
21|12:08:05|01|03
22|12:08:06|03|01
23|12:08:09|01|03
24|12:08:10|04|02
25|12:08:14|03|04
26|12:08:17|04|04
27|12:08:21|01|05
28|12:08:22|02|02
29|12:08:24|04|01
30|12:08:28|03|02
31|12:08:31|01|03
