01|19:17:44|03|01
02|19:17:47|02|04
03|19:17:49|01|04
04|19:17:50|03|03
05|19:17:53|02|05
06|19:17:55|03|04
07|19:17:58|04|01
08|19:18:02|01|01
09|19:18:03|03|04
10|19:18:06|01|02
11|19:18:07|02|05
12|19:18:09|04|03
13|19:18:13|04|01
14|19:18:17|01|02
15|19:18:18|03|04
16|19:18:21|01|05
17|19:18:22|02|02
18|19:18:24|02|04
19|19:18:26|04|02
20|19:18:30|03|03
21|19:18:33|04|02
22|19:18:37|02|03
23|19:18:39|04|04
24|19:18:43|01|03
25|19:18:44|03|05
26|19:18:47|03|03
27|19:18:50|03|05
28|19:18:53|04|05
29|19:18:57|02|04
30|19:18:59|04|02
31|19:19:03|01|02
32|19:19:04|03|05
33|19:19:07|04|03
34|19:19:11|04|01
35|19:19:15|01|04
36|19:19:16|01|03
37|19:19:17|03|05
38|19:19:20|01|04
39|19:19:21|03|02
40|19:19:24|02|03
41|19:19:26|01|04
42|19:19:27|04|02
43|19:19:31|03|03
44|19:19:34|01|03
45|19:19:35|02|03
46|19:19:37|04|03
47|19:19:41|03|01
48|19:19:44|02|01
49|19:19:46|04|03
50|19:19:50|01|02
51|19:19:51|04|03
52|19:19:55|03|04
53|19:19:58|01|03
54|19:19:59|01|05
55|19:20:00|03|03
56|19:20:03|03|03
57|19:20:06|04|05
58|19:20:10|03|04
59|19:20:13|04|04
60|19:20:17|03|04
61|19:20:20|04|04
62|19:20:24|02|04
63|19:20:26|01|02
64|19:20:27|02|01
65|19:20:29|03|01
66|19:20:32|01|04
67|19:20:33|01|03
68|19:20:34|03|04
69|19:20:37|01|02
70|19:20:38|01|03
71|19:20:39|04|02
72|19:20:43|04|05
73|19:20:47|04|01
74|19:20:51|02|02
75|19:20:53|02|05
76|19:20:55|04|05
77|19:20:59|04|02
78|19:21:03|04|04
79|19:21:07|01|01
80|19:21:08|02|02
